Assembly Accession	Organism Name	Assembly Level	Assembly Status	Assembly Stats Total Sequence Length	Assembly Stats Number of Contigs	Assembly BioSample Accession	Assembly BioSample Isolation source	Assembly BioSample Geographic location	Assembly BioSample Host	candidate_group	keyword_hits	species
GCF_016924995.1	Bacillus sp. LJBS06	Complete Genome	current	4237297	2	SAMN17766440	soil	China: Shanghai		non_saline_candidate		Bacillus sp.
GCF_017797845.1	Bacillus sp. LJBV19	Complete Genome	current	3973013	1	SAMN18498952	soil	China: shanghai		non_saline_candidate		Bacillus sp.
GCF_018861275.1	Bacillus sp. JNUCC-22	Complete Genome	current	3949366	1	SAMN19582019	soil	South Korea: Jeju, Baengnokdam Summit Crater Area, Mt. Halla		non_saline_candidate		Bacillus sp.
GCF_018885385.1	Bacillus sp. JNUCC-24	Complete Genome	current	3835772	2	SAMN19582029	soil	South Korea: Baengnokdam Summit Crater Area, Mt. Halla, Jeju		non_saline_candidate		Bacillus sp.
GCF_019334685.1	Bacillus sp. LJBS17	Complete Genome	current	4330013	3	SAMN20204829	soil	China: Shanghai		non_saline_candidate		Bacillus sp.
GCF_020708615.1	Bacillus sp. LBG-1-113	Scaffold	current	4069186	30	SAMN22445230	root	China: Gansu	lily	non_saline_candidate		Bacillus sp.
GCF_021729365.1	Bacillus sp. R45	Complete Genome	current	3924335	1	SAMN25210050	soil	China:Nanjing		non_saline_candidate		Bacillus sp.
GCF_022637375.2	Bacillus sp. N5-665	Complete Genome	current	6035299	2	SAMN26520713	peat soil	Germany: long-term fertilization experiment Paulinenaue		non_saline_candidate		Bacillus sp.
GCF_022701035.1	Bacillus sp. N447-1	Complete Genome	current	5500489	2	SAMN16579498		China:zhengzhou	Zoo anteater area soil	non_saline_candidate		Bacillus sp.
GCF_030284525.1	Bacillus sp. L381	Complete Genome	current	3861105	1	SAMN31018855	root	China:Guangzhou	Oryza meridionalis	non_saline_candidate		Bacillus sp.
GCF_030851295.1	Bacillus sp. WR13	Scaffold	current	4009084	15	SAMN30058691	root	China: Zhoukou	Triticum aestivum	non_saline_candidate		Bacillus sp.
GCF_032465855.1	Bacillus sp. TSA-4	Complete Genome	current	4068985	1	SAMN37639057	soil	China		non_saline_candidate		Bacillus sp.
GCF_033449965.1	Bacillus sp. T3	Complete Genome	current	4606419	2	SAMN37270868	Rhizosphere soil of pepper	South Korea: Daegu		non_saline_candidate		Bacillus sp.
GCF_034259245.1	Bacillus sp. RA(2023)	Complete Genome	current	5889210	4	SAMN38441019	soil	China: Shandong Dongying		non_saline_candidate		Bacillus sp.
GCF_041222765.1	Bacillus sp. JNUCC-21	Complete Genome	current	4199467	1	SAMN42956505	Baengnokdam Summit Crater Area, Mt. Halla	South Korea: Jeju Island	soil	non_saline_candidate		Bacillus sp.
GCF_041360755.1	Bacillus sp. RCC_6_1	Scaffold	current	6105564	63	SAMN42017410	root	USA: Angelo Coast Range Reserve	Brachypodium distachyon	non_saline_candidate		Bacillus sp.
GCF_049059285.1	Bacillus sp. YIM B13449	Scaffold	current	3846041	15	SAMN43971604	rhizosphere soil	China: Yunnan Province	tobacco	non_saline_candidate		Bacillus sp.
GCF_050864245.1	Bacillus sp. XT-4	Scaffold	current	3711965	42	SAMN48882079	cadmium-contaminated soil	China: Xiangtan, Hunan province		non_saline_candidate		Bacillus sp.
GCF_051131815.1	Bacillus sp. PM5	Chromosome	current	5263753	1	SAMN47806251		China: Nanjing	Soil	non_saline_candidate		Bacillus sp.
GCF_051131825.1	Bacillus sp. PM43	Chromosome	current	4051346	2	SAMN47806259		China: Nanjing	Soil	non_saline_candidate		Bacillus sp.
GCF_052600175.1	Bacillus sp. M.A.Huq-78	Scaffold	current	5196555	146	SAMN50892729	soil	South Korea		non_saline_candidate		Bacillus sp.
GCF_052805735.1	Bacillus sp. N6	Complete Genome	current	5471967	4	SAMN51432599	tea garden soil	China: Wuyishan		non_saline_candidate		Bacillus sp.
GCF_053557995.1	Bacillus sp. XB1	Scaffold	current	5327894	34	SAMN45866699	soil	China: Zhejiang		non_saline_candidate		Bacillus sp.
GCF_053903125.1	Bacillus sp. JZ105	Complete Genome	current	3773681	1	SAMN27610177	Plant	Saudi Arabia: Jizan	Tribulus terrestris	non_saline_candidate		Bacillus sp.
GCF_053903135.1	Bacillus sp. JZ109	Complete Genome	current	4103390	1	SAMN27610178	Plant	Saudi Arabia: Jizan	Tribulus terrestris	non_saline_candidate		Bacillus sp.
GCF_053903145.1	Bacillus sp. JZ39	Complete Genome	current	4007146	1	SAMN27610179	Plant	Saudi Arabia: Jizan	Tribulus terrestris	non_saline_candidate		Bacillus sp.
GCF_053903155.1	Bacillus sp. JZ76	Complete Genome	current	4103388	1	SAMN27610200	Plant	Saudi Arabia: Jizan	Tribulus terrestris	non_saline_candidate		Bacillus sp.
GCF_053903185.1	Bacillus sp. JZ142	Complete Genome	current	3773654	1	SAMN27610204	Plant	Saudi Arabia: Jizan	Euphorbia granulata	non_saline_candidate		Bacillus sp.
GCF_053903195.1	Bacillus sp. JZ33	Complete Genome	current	3773699	1	SAMN27610205	Plant	Saudi Arabia: Jizan	Euphorbia granulata	non_saline_candidate		Bacillus sp.
GCF_053903205.1	Bacillus sp. JZ34	Complete Genome	current	4397370	1	SAMN27610206	Plant	Saudi Arabia: Jizan	Euphorbia granulata	non_saline_candidate		Bacillus sp.
GCF_053903215.1	Bacillus sp. JZ35	Complete Genome	current	3773699	1	SAMN27610207	Plant	Saudi Arabia: Jizan	Euphorbia granulata	non_saline_candidate		Bacillus sp.
GCF_053903235.1	Bacillus sp. JZ71	Complete Genome	current	3781119	2	SAMN27610209	Plant	Saudi Arabia: Thweal	Euphorbia granulata	non_saline_candidate		Bacillus sp.
GCF_053903245.1	Bacillus sp. K7	Complete Genome	current	3889512	1	SAMN27610210	Plant	Saudi Arabia: Thweal	Dactyloctenium aristatum	non_saline_candidate		Bacillus sp.
GCF_054161355.1	Bacillus sp. PK3-037	Complete Genome	current	4128071	1	SAMN27610215	Plant	Pakistan: Thar desert	Janochloa antidotale	non_saline_candidate		Bacillus sp.
GCF_054161375.1	Bacillus sp. PK3-130	Complete Genome	current	4128155	1	SAMN27610219	Plant	Pakistan: Thar desert	Janochloa antidotale	non_saline_candidate		Bacillus sp.
GCF_054161385.1	Bacillus sp. PK3-136	Complete Genome	current	4128070	1	SAMN27610220	Plant	Pakistan: Thar desert	Janochloa antidotale	non_saline_candidate		Bacillus sp.
GCF_054161395.1	Bacillus sp. PK3-137	Complete Genome	current	3736950	1	SAMN27610221	Plant	Pakistan: Thar desert	Janochloa antidotale	non_saline_candidate		Bacillus sp.
GCF_054161405.1	Bacillus sp. PK5-004	Complete Genome	current	3736957	1	SAMN27610223	Plant	Pakistan: Thar desert	Tribulus terrestris	non_saline_candidate		Bacillus sp.
GCF_054161415.1	Bacillus sp. PK5-006	Complete Genome	current	3736907	1	SAMN27610224	Plant	Pakistan: Thar desert	Tribulus terrestris	non_saline_candidate		Bacillus sp.
GCF_054161425.1	Bacillus sp. PK5-009	Complete Genome	current	3736920	1	SAMN27610225	Plant	Pakistan: Thar desert	Tribulus terrestris	non_saline_candidate		Bacillus sp.
GCF_054161435.1	Bacillus sp. PK5-050	Complete Genome	current	3736916	1	SAMN27610228	Plant	Pakistan: Thar desert	Tribulus terrestris	non_saline_candidate		Bacillus sp.
GCF_054161445.1	Bacillus sp. PK6-013	Complete Genome	current	4287170	1	SAMN27610229	Plant	Pakistan: Thar desert	Tetraena simplex	non_saline_candidate		Bacillus sp.
GCF_054161455.1	Bacillus sp. PK6-026	Complete Genome	current	4370689	1	SAMN27610231	Plant	Pakistan: Thar desert	Tetraena simplex	non_saline_candidate		Bacillus sp.
GCF_054792375.1	Bacillus sp. SA116	Complete Genome	current	4230722	2	SAMN27610185	Plant	Saudi Arabia: Jizan	Indigofera argentea Burm.f.	non_saline_candidate		Bacillus sp.
GCF_056530265.1	Bacillus sp. PK6-025	Complete Genome	current	4423395	2	SAMN27610230	Plant	Pakistan: Thar desert	Tetraena simplex	non_saline_candidate		Bacillus sp.
GCF_056530295.1	Bacillus sp. PK6-16	Complete Genome	current	5667521	2	SAMN27610232	Plant	Pakistan: Thar desert	Tetraena simplex	non_saline_candidate		Bacillus sp.
GCF_056738645.1	Bacillus sp. PK3-067	Complete Genome	current	5869396	5	SAMN27610218	Plant	Pakistan: Thar desert	Janochloa antidotale	non_saline_candidate		Bacillus sp.
GCF_056838025.1	Bacillus sp. MC1252	Complete Genome	current	3678855	1	SAMN54756743		China: Aksu Prefecture, Xinjiang Uygur Autonomous Region	soil	non_saline_candidate		Bacillus sp.
GCF_001278955.1	Bacillus subtilis	Scaffold	current	4038551	44	SAMN03835251	soil	China		non_saline_candidate		Bacillus subtilis
GCF_001890405.1	Bacillus subtilis	Complete Genome	current	4212430	2	SAMN06060088	soil	China: Tianjin		non_saline_candidate		Bacillus subtilis
GCF_002072735.1	Bacillus subtilis	Complete Genome	current	4072961	1	SAMN06618433	rhizosphere	China:Zhongning,Ningxia	Lycium barbarum L.	non_saline_candidate		Bacillus subtilis
GCF_002142595.1	Bacillus subtilis	Complete Genome	current	3923177	1	SAMN06808294	rhizospheric soil	Algeria: Tlemcen		non_saline_candidate		Bacillus subtilis
GCF_002205435.1	Bacillus subtilis	Chromosome	current	4093698	130	SAMN07187745	soil	India: Assam, Sivasagar		non_saline_candidate		Bacillus subtilis
GCF_002277775.1	Bacillus subtilis	Scaffold	current	4271280	21	SAMN07285925	potato rhizosphere	Russia: Republic of Tatarstan		non_saline_candidate		Bacillus subtilis
GCF_003148355.1	Bacillus subtilis	Complete Genome	current	4120380	1	SAMN09212889	soil	China: Hainan province		non_saline_candidate		Bacillus subtilis
GCF_003265645.1	Bacillus subtilis	Scaffold	current	4161805	13	SAMN02714223	soil	China: Yantai, Shandong		non_saline_candidate		Bacillus subtilis
GCF_004101945.1	Bacillus subtilis	Complete Genome	current	4110138	1	SAMN07460133	soil	France		non_saline_candidate		Bacillus subtilis
GCF_004103895.1	Bacillus subtilis	Scaffold	current	3980593	32	SAMN06445278	rhizospheric soil	India:Uttar Pradesh		non_saline_candidate		Bacillus subtilis
GCF_004294565.1	Bacillus subtilis	Scaffold	current	4060396	23	SAMN10786851	Maize rhizosphere	South Africa: Mafikeng	Soil	non_saline_candidate		Bacillus subtilis
GCF_005849145.1	Bacillus subtilis	Complete Genome	current	4073059	1	SAMN11535052	Tobacco rhizosphere soil	China:Hunan Province		non_saline_candidate		Bacillus subtilis
GCF_007995205.1	Bacillus subtilis	Scaffold	current	4138034	56	SAMN06167145	Soil from decomposing logs of textile industry	India: Gujarat, Surat		non_saline_candidate		Bacillus subtilis
GCF_009665145.1	Bacillus subtilis	Complete Genome	current	4015360	1	SAMN13155133	soil	China: Chengde		non_saline_candidate		Bacillus subtilis
GCF_009857115.1	Bacillus subtilis	Complete Genome	current	4119195	1	SAMN13715497	soil	South Korea: Gotjawal in Jeju island		non_saline_candidate		Bacillus subtilis
GCF_009937745.1	Bacillus subtilis	Chromosome	current	4457201	1	SAMN13510061	soil	Pakistan: Karak		non_saline_candidate		Bacillus subtilis
GCF_010634645.1	Bacillus subtilis	Scaffold	current	4236139	85	SAMN06643048	healthy plant	India	Crocus sativus (saffron)	non_saline_candidate		Bacillus subtilis
GCF_011765645.1	Bacillus subtilis	Chromosome	current	4142132	26	SAMN12697602	Plant tissue	India:Manipur	Oryza sativa	non_saline_candidate		Bacillus subtilis
GCF_013285325.1	Bacillus subtilis	Complete Genome	current	4101682	1	SAMN15069579	soil	China:Najing province		non_saline_candidate		Bacillus subtilis
GCF_013342875.1	Bacillus subtilis	Scaffold	current	4248244	24	SAMN15042623	soil	China		non_saline_candidate		Bacillus subtilis
GCF_014879275.1	Bacillus subtilis	Complete Genome	current	4200880	1	SAMN16330026	Bat guano from cave soil	Brazil: Para, Altamira		non_saline_candidate		Bacillus subtilis
GCF_015535655.1	Bacillus subtilis	Complete Genome	current	4105857	1	SAMN13503695	Dendrobium	China:Guangzhou	plant	non_saline_candidate		Bacillus subtilis
GCF_015602625.1	Bacillus subtilis	Complete Genome	current	4186822	1	SAMN13503694	Dendrobium	China:Guangzhou	plant	non_saline_candidate		Bacillus subtilis
GCF_015844635.1	Bacillus subtilis	Scaffold	current	4094982	22	SAMN03654031	maybe soil	China		non_saline_candidate		Bacillus subtilis
GCF_015844655.1	Bacillus subtilis	Scaffold	current	4227600	102	SAMN03654030	maybe soil	China		non_saline_candidate		Bacillus subtilis
GCF_015880865.1	Bacillus subtilis	Scaffold	current	4081556	29	SAMN03651926	maybe soil	China		non_saline_candidate		Bacillus subtilis
GCF_016894165.1	Bacillus subtilis	Complete Genome	current	4080024	1	SAMN17832981	soil	Belarus:Novopolotsk		non_saline_candidate		Bacillus subtilis
GCF_017599395.1	Bacillus subtilis	Scaffold	current	4143274	124	SAMN18386051	soil	Pakistan: Thal Desert		non_saline_candidate		Bacillus subtilis
GCF_017817855.1	Bacillus subtilis	Scaffold	current	4064901	29	SAMN18155319	soil	Brazil		non_saline_candidate		Bacillus subtilis
GCF_018223525.1	Bacillus subtilis	Scaffold	current	4061509	23	SAMN18839106	soil	China:Beijing, Haidian District, Zhongguancunnandajie, Chinese Agricultral of Academy Sciences		non_saline_candidate		Bacillus subtilis
GCF_018394175.1	Bacillus subtilis	Complete Genome	current	4030791	1	SAMN19091144	soil	China: Mount Tai		non_saline_candidate		Bacillus subtilis
GCF_018530835.1	Bacillus subtilis	Scaffold	current	4037732	11	SAMN19238141	soil	China:Beijing, Haidian District, Zhongguancunnandajie, Chinese Agricultral of Academy Sciences		non_saline_candidate		Bacillus subtilis
GCF_019931715.1	Bacillus subtilis	Complete Genome	current	4299840	2	SAMN21220196	soil	China		non_saline_candidate		Bacillus subtilis
GCF_020859605.1	Bacillus subtilis	Scaffold	current	4125559	22	SAMN22603050	activated sludge from wastewater treatment plant	China: Fuzhou		non_saline_candidate		Bacillus subtilis
GCF_021498185.1	Bacillus subtilis	Chromosome	current	4138018	14	SAMN14911298	Local soil sample	India		non_saline_candidate		Bacillus subtilis
GCF_022370975.1	Bacillus subtilis	Complete Genome	current	4264477	1	SAMN25982035	soil	China: Shandong		non_saline_candidate		Bacillus subtilis
GCF_022654795.1	Bacillus subtilis	Complete Genome	current	4160635	1	SAMN26533862	tea soil	China: Guiyang		non_saline_candidate		Bacillus subtilis
GCF_022700935.1	Bacillus subtilis	Complete Genome	current	4215560	1	SAMN16585340	Soil of Dajian Mountain Forest Farm	China:Shanxi qinshui		non_saline_candidate		Bacillus subtilis
GCF_022809835.2	Bacillus sp. ZJS3	Complete Genome	current	5756387	3	SAMN26863310	biological soil crust	China:Tengger Desert		non_saline_candidate		Bacillus sp.
GCF_023369715.1	Bacillus subtilis	Complete Genome	current	4058498	1	SAMN28044975		China: Hebei	soil	non_saline_candidate		Bacillus subtilis
GCF_024220155.1	Bacillus subtilis	Complete Genome	current	4030831	1	SAMN29498062	soil	China:Beijing		non_saline_candidate		Bacillus subtilis
GCF_025460705.1	Bacillus subtilis	Scaffold	current	4152216	23	SAMN28928350	petroleum contaminated soil	China: Maoming		non_saline_candidate		Bacillus subtilis
GCF_025502505.1	Bacillus subtilis	Complete Genome	current	4175498	2	SAMN30959807	soil	South Korea:Buyeo		non_saline_candidate		Bacillus subtilis
GCF_025502545.1	Bacillus subtilis	Complete Genome	current	4175500	2	SAMN30959580	soil	South Korea:Buyeo		non_saline_candidate		Bacillus subtilis
GCF_025767725.1	Bacillus subtilis	Chromosome	current	4204770	1	SAMN09662699	soil	India: Maharashtra		non_saline_candidate		Bacillus subtilis
GCF_025914075.1	Bacillus subtilis	Complete Genome	current	4049856	1	SAMN18642587	soil	China:Nanjing		non_saline_candidate		Bacillus subtilis
GCF_026639155.1	Bacillus subtilis	Complete Genome	current	4060823	1	SAMN31746991	soil	China		non_saline_candidate		Bacillus subtilis
GCF_026793955.1	Bacillus subtilis	Scaffold	current	4064771	25	SAMN25999666	soil	not collected		non_saline_candidate		Bacillus subtilis
GCF_035822295.1	Bacillus stercoris	Scaffold	current	4042839	19	SAMN33940744	soil	Trinidad and Tobago: Trinidad		non_saline_candidate		Bacillus stercoris
GCF_028462485.1	Bacillus subtilis	Scaffold	current	4063891	69	SAMN32946340	soil	not applicable		non_saline_candidate		Bacillus subtilis
GCF_028463925.1	Bacillus subtilis	Complete Genome	current	4110203	1	SAMN32902171	soil	South Korea:Sunchang		non_saline_candidate		Bacillus subtilis
GCF_029027845.1	Bacillus subtilis	Complete Genome	current	4295123	2	SAMN26811691	soil	China: Shenzhen		non_saline_candidate		Bacillus subtilis
GCF_029537155.2	Bacillus subtilis	Complete Genome	current	4140514	1	SAMN33591691	soil	not applicable		non_saline_candidate		Bacillus subtilis
GCF_030122865.1	Bacillus subtilis	Complete Genome	current	4090469	1	SAMN34374854	grassland soil	Denmark: Gentofte		non_saline_candidate		Bacillus subtilis
GCF_030122885.1	Bacillus subtilis	Complete Genome	current	4090469	1	SAMN34374855	grassland soil	Denmark: Gentofte		non_saline_candidate		Bacillus subtilis
GCF_030123085.1	Bacillus subtilis	Complete Genome	current	4085814	1	SAMN34374884	pine forrest soil between two spruce trees	Germany: near Munchenroda, Jena		non_saline_candidate		Bacillus subtilis
GCF_030123145.1	Bacillus subtilis	Complete Genome	current	4237328	1	SAMN34375013	rhizosphere soil	China: Kaifeng, Henan Province		non_saline_candidate		Bacillus subtilis
GCF_030273385.1	Bacillus subtilis	Chromosome	current	4149783	30	SAMN23670471	rice garden soil	India: Jorhat, Assam		non_saline_candidate		Bacillus subtilis
GCF_030643845.1	Bacillus subtilis	Complete Genome	current	4227198	1	SAMN32775247	Starch plant	China: Guangxi		non_saline_candidate		Bacillus subtilis
GCF_030863625.1	Bacillus subtilis	Complete Genome	current	3908079	1	SAMN30451247	rhizosphere soil	China:Shaanxi	missing	non_saline_candidate		Bacillus subtilis
GCF_031326005.1	Bacillus subtilis	Complete Genome	current	4092273	2	SAMN37220582	soil sample	South Korea: Jeju Island		non_saline_candidate		Bacillus subtilis
GCF_031326045.1	Bacillus subtilis	Complete Genome	current	4059376	1	SAMN37220456	soil sample	South Korea: Busan		non_saline_candidate		Bacillus subtilis
GCF_033100155.1	Bacillus subtilis	Chromosome	current	4093049	2	SAMN37735702	Soil adhered to the roots	Trinidad and Tobago: Trinidad	Wild Sorghum	non_saline_candidate		Bacillus subtilis
GCF_035808095.1	Bacillus subtilis	Scaffold	current	4243171	34	SAMN33940662	soil	Austria		non_saline_candidate		Bacillus subtilis
GCF_035809035.1	Bacillus subtilis	Scaffold	current	4048165	18	SAMN33940602	soil	Russia		non_saline_candidate		Bacillus subtilis
GCF_035809065.1	Bacillus subtilis	Scaffold	current	4043088	23	SAMN33940604	soil	Russia		non_saline_candidate		Bacillus subtilis
GCF_035810155.1	Bacillus subtilis	Scaffold	current	4064812	20	SAMN33940544	soil	USA		non_saline_candidate		Bacillus subtilis
GCF_035810195.1	Bacillus subtilis	Scaffold	current	3980630	18	SAMN33940546	soil	USA		non_saline_candidate		Bacillus subtilis
GCF_035810235.1	Bacillus subtilis	Scaffold	current	4083521	14	SAMN33940542	soil	USA		non_saline_candidate		Bacillus subtilis
GCF_035810255.1	Bacillus subtilis	Scaffold	current	4091815	17	SAMN33940541	soil	USA		non_saline_candidate		Bacillus subtilis
GCF_035811795.1	Bacillus subtilis	Scaffold	current	3974430	13	SAMN33940465	soil	India		non_saline_candidate		Bacillus subtilis
GCF_035822435.1	Bacillus subtilis	Scaffold	current	4133452	16	SAMN33940740	soil	Canada		non_saline_candidate		Bacillus subtilis
GCF_035822575.1	Bacillus subtilis	Scaffold	current	4060878	19	SAMN33940738	soil	Canada		non_saline_candidate		Bacillus subtilis
GCF_035822815.1	Bacillus subtilis	Scaffold	current	4180663	97	SAMN33940730	soil	Greenland		non_saline_candidate		Bacillus subtilis
GCF_035823135.1	Bacillus subtilis	Scaffold	current	4209091	20	SAMN33940722	soil	not collected		non_saline_candidate		Bacillus subtilis
GCF_035823895.1	Bacillus subtilis	Scaffold	current	4114275	28	SAMN31780099	soil	Poland		non_saline_candidate		Bacillus subtilis
GCF_036512515.1	Bacillus subtilis	Complete Genome	current	4035612	3	SAMD00650365	soil	Japan:Tokyo		non_saline_candidate		Bacillus subtilis
GCF_037164265.1	Bacillus subtilis	Scaffold	current	4084542	92	SAMN39645117	soil	China: Beijing		non_saline_candidate		Bacillus subtilis
GCF_037997165.1	Bacillus subtilis	Complete Genome	current	4215642	1	SAMN40517433	Healthy cucumber rhizosphere soil.	China: Beiwang Village, Luolong District, Luoyang City, Henan Province	Cucumis sativus L.	non_saline_candidate		Bacillus subtilis
GCF_038442665.1	Bacillus subtilis	Complete Genome	current	4215643	1	SAMN40979683	wheat rhizospheric soil	China: a field at the Henan Academy of Agricultural Sciences in Xinxiang, Henan		non_saline_candidate		Bacillus subtilis
GCF_038594285.1	Bacillus subtilis	Scaffold	current	4278314	30	SAMN40732643	soil	Russia: Republic of Tatarstan, Kazan		non_saline_candidate		Bacillus subtilis
GCF_041153445.1	Bacillus subtilis	Scaffold	current	4004109	12	SAMN41837374	root	Thailand: Surat Thani	rice	non_saline_candidate		Bacillus subtilis
GCF_041514415.1	Bacillus subtilis	Complete Genome	current	4083451	1	SAMN26302293	Rhizosphere soil of cucumber, cucumber field of the experimental farm of the School of Agriculture and Biology, Shanghai Jiaotong University	China: Shanghai		non_saline_candidate		Bacillus subtilis
GCF_045001865.1	Bacillus subtilis	Complete Genome	current	4030855	1	SAMN38026925	soil	China: Henan		non_saline_candidate		Bacillus subtilis
GCF_045277765.1	Bacillus subtilis	Chromosome	current	4168801	80	SAMN35344861	root of tea	India: Jalpaiguri, West Bengal	Camellia sinensis	non_saline_candidate		Bacillus subtilis
GCF_046267835.1	Bacillus subtilis	Complete Genome	current	4425418	2	SAMN43911274	plant	China:Shangqiu		non_saline_candidate		Bacillus subtilis
GCF_047302535.1	Bacillus subtilis	Complete Genome	current	4117990	1	SAMN44627545	root	USA:Tucson	Lactuca serriola	non_saline_candidate		Bacillus subtilis
GCF_047782775.1	Bacillus subtilis	Complete Genome	current	4120051	1	SAMN45886785	soil sample	India: Rubber Estate, Kerala		non_saline_candidate		Bacillus subtilis
GCF_050051215.1	Bacillus subtilis	Scaffold	current	4282130	24	SAMN48054950	soil	Brazil: Ceara, Ocara		non_saline_candidate		Bacillus subtilis
GCF_050051235.1	Bacillus subtilis	Scaffold	current	4088418	17	SAMN48054949	soil	Brazil: Ceara, Pedra Branca		non_saline_candidate		Bacillus subtilis
GCF_050884255.1	Bacillus subtilis	Complete Genome	current	4089051	1	SAMN48388340	soil	China:Taizhou		non_saline_candidate		Bacillus subtilis
GCF_051192595.1	Bacillus subtilis	Scaffold	current	4074393	25	SAMN49650439	potato rhizosphere	Russia:Tatarstan, Kazan		non_saline_candidate		Bacillus subtilis
GCF_051904005.1	Bacillus subtilis	Complete Genome	current	4572713	1	SAMN28462502	Rhizosheric soil	India: Tamil Nadu, Coimbatore, TNAU		non_saline_candidate		Bacillus subtilis
GCF_051908735.1	Bacillus subtilis	Complete Genome	current	4137114	2	SAMN50429499	plant leaves	China: Changsha		non_saline_candidate		Bacillus subtilis
GCF_052806295.1	Bacillus subtilis	Scaffold	current	4168299	50	SAMN48096595	soil	Spain		non_saline_candidate		Bacillus subtilis
GCF_053291885.1	Bacillus subtilis	Complete Genome	current	4217970	1	SAMN50033525	Cypress rhizosphere soil	China:Beijing		non_saline_candidate		Bacillus subtilis
GCF_053786015.1	Bacillus subtilis	Complete Genome	current	4091710	1	SAMN53403215	soil	China: Qingzhou		non_saline_candidate		Bacillus subtilis
GCF_054408555.1	Bacillus subtilis	Complete Genome	current	4156860	3	SAMN46066456	soil	China: Shandong		non_saline_candidate		Bacillus subtilis
GCF_000227485.1	Bacillus subtilis subsp. subtilis str. RO-NN-1	Complete Genome	current	4011949	1	SAMN02603351	soil			non_saline_candidate		Bacillus subtilis
GCF_001565875.1	Bacillus subtilis subsp. natto	Complete Genome	current	4193748	3	SAMN04437026	soil	missing	missing	non_saline_candidate		Bacillus subtilis
GCF_002009095.1	Bacillus subtilis subsp. subtilis str. 168	Chromosome	current	4215398	3	SAMN06268574		missing	soil	non_saline_candidate		Bacillus subtilis
GCF_002009135.1	Bacillus subtilis subsp. subtilis str. 168	Chromosome	current	4215385	2	SAMN06268590		missing	soil	non_saline_candidate		Bacillus subtilis
GCF_002998755.1	Bacillus subtilis subsp. subtilis	Scaffold	current	4074495	18	SAMN08637871	soil	China: Tibet		non_saline_candidate		Bacillus subtilis
GCF_002998795.1	Bacillus subtilis subsp. subtilis	Scaffold	current	4072574	14	SAMN08637881	soil	China: Tibet		non_saline_candidate		Bacillus subtilis
GCF_011800745.1	Bacillus subtilis subsp. subtilis	Scaffold	current	4090640	26	SAMN09761081	rhizosphere	Colombia: Uraba	Musa acuminata AAA Group	non_saline_candidate		Bacillus subtilis
GCF_012648205.1	Bacillus subtilis subsp. subtilis	Complete Genome	current	4059834	1	SAMN14479758	cotton plant surface sterilized stem	Tajikistan:Dushanbe		non_saline_candidate		Bacillus subtilis
GCF_018454405.1	Bacillus subtilis subsp. subtilis	Complete Genome	current	4215114	1	SAMN19136531	beach soil	India:Midalam beach in Tamil Nadu		non_saline_candidate		Bacillus subtilis
GCF_029916985.1	Bacillus subtilis subsp. subtilis	Complete Genome	current	4163183	2	SAMN34231589	soil	China:Wuhan		non_saline_candidate		Bacillus subtilis
GCF_039619305.1	Bacillus subtilis subsp. subtilis	Complete Genome	current	4086124	1	SAMN41076884	Wheat root	China: Henan		non_saline_candidate		Bacillus subtilis
GCF_041023695.1	Bacillus subtilis subsp. subtilis	Scaffold	current	4071622	16	SAMN42877911	tomato roots	Russia		non_saline_candidate		Bacillus subtilis
GCF_047823005.1	Bacillus subtilis subsp. subtilis	Scaffold	current	4047995	17	SAMN46714633	Wastewater from the tannery treatment plant	Colombia: Quindio		non_saline_candidate		Bacillus subtilis
GCF_049860545.1	Bacillus subtilis subsp. subtilis	Complete Genome	current	4295485	2	SAMN48002405	Plant rhizosphere	China: Nanjing		non_saline_candidate		Bacillus subtilis
GCF_051912515.1	Bacillus subtilis subsp. subtilis	Complete Genome	current	4147866	1	SAMN50219890	soil sample	Mexico: Guanajuato, Valle de Santiago, Las Siete Luminarias Nature Reserve	Metarhizium robertsii	non_saline_candidate		Bacillus subtilis
GCF_055690685.1	Bacillus subtilis	Complete Genome	current	4177895	1	SAMN54376224	Root of Leucas aspera	Bangladesh: Biral, Dinajpur	Leucas aspera	non_saline_candidate		Bacillus subtilis
GCF_055801795.1	Bacillus subtilis	Complete Genome	current	4123886	1	SAMN54937985	Ginkgo biloba rhizosphere soil	China:Qiannan Buyi and Miao Autonomous Prefecture		non_saline_candidate		Bacillus subtilis
GCF_905310985.2	Bacillus subtilis	Complete Genome	current	4096107	1	SAMEA8103426	garden soil	United Kingdom		non_saline_candidate		Bacillus subtilis
GCF_905310995.2	Bacillus subtilis	Complete Genome	current	4264553	1	SAMEA8103427	community garden soil	United Kingdom		non_saline_candidate		Bacillus subtilis
GCF_905311035.2	Bacillus subtilis	Chromosome	current	4312183	5	SAMEA8103425	garden soil	United Kingdom		non_saline_candidate		Bacillus subtilis
GCF_905311385.2	Bacillus subtilis	Complete Genome	current	4371489	2	SAMEA8103433	garden soil	United Kingdom		non_saline_candidate		Bacillus subtilis
GCF_905311405.2	Bacillus subtilis	Complete Genome	current	4166364	2	SAMEA8103429	garden soil	United Kingdom		non_saline_candidate		Bacillus subtilis
GCF_905311425.2	Bacillus subtilis	Complete Genome	current	4090679	1	SAMEA8103428	community garden soil	United Kingdom		non_saline_candidate		Bacillus subtilis
